ir_level;red_level;temperature
38108;38253;36.55555556
38109;38259;36.55555556
38125;38237;36.61111111
38125;38249;36.61111111
38117;38249;36.61111111
38147;38255;36.66666667
38140;38256;36.66666667
38169;38267;36.66666667
38164;38252;36.88888889
38173;38265;36.94444444
38198;38258;36.94444444
38193;38268;37
38216;38257;37
38237;38277;37
38250;38292;36.77777778
38258;38297;36.77777778
38254;38306;36.77777778
38284;38304;36.83333333
38309;38307;37.33333333
38303;38303;36.88888889
38326;38319;36.88888889
38329;38319;36.88888889
38349;38324;36.94444444
38380;38326;36.94444444
38366;38330;37
38372;38331;37
38390;38349;37
38405;38347;37
38403;38357;37
38426;38341;37
38418;38344;37.05555556
38451;38342;37.05555556
38458;38354;37.11111111
38466;38362;37.11111111
38492;38359;37.11111111
38491;38369;37.16666667
38502;38361;37.22222222
38513;38369;36.77777778
38530;38363;36.77777778
38545;38391;36.83333333
38551;38389;36.83333333
38555;38390;36.88888889
38571;38381;36.88888889
38586;38393;36.88888889
38600;38392;36.94444444
38610;38395;36.94444444
38624;38388;37.27777778
38643;38398;37.33333333
38654;38412;37.38888889
38646;38411;37.44444444
38655;38417;37.5
38684;38422;35.77777778
38694;38415;35.94444444
38688;38429;36
38697;38404;36.22222222
38684;38403;36.22222222
38657;38373;36.33333333
38616;38362;36.44444444
38545;38327;36.5
38482;38293;36.55555556
38430;38259;36.55555556
38355;38232;36.55555556
38286;38207;36.61111111
38235;38162;36.61111111
38198;38135;36.94444444
38151;38129;36.94444444
38129;38114;37
38114;38107;37
38085;38111;37
38081;38084;36.77777778
38065;38088;36.77777778
38054;38081;36.77777778
38033;38073;36.83333333
38031;38063;37.33333333
38023;38068;37.38888889
38027;38075;37.44444444
38017;38047;37.5
38009;38064;36.44444444
38015;38063;36.61111111
38021;38054;36.61111111
